,id,from,at,to,open,close,min,max,volume
195,4159286,2025-10-15 08:12:00,2025-10-15 08:13:00,2025-10-15 08:13:00,1.165125,1.163055,1.163045,1.165155,0
196,4159287,2025-10-15 08:13:00,2025-10-15 08:14:00,2025-10-15 08:14:00,1.162985,1.162945,1.162825,1.164215,0
197,4159288,2025-10-15 08:14:00,2025-10-15 08:15:00,2025-10-15 08:15:00,1.162945,1.162495,1.161975,1.163205,0
198,4159289,2025-10-15 08:15:00,2025-10-15 08:16:00,2025-10-15 08:16:00,1.162365,1.162175,1.162175,1.163365,0
199,4159290,2025-10-15 08:16:00,2025-10-15 08:17:00,2025-10-15 08:17:00,1.161925,1.161165,1.161025,1.161985,0
200,4159291,2025-10-15 08:17:00,2025-10-15 08:18:00,2025-10-15 08:18:00,1.161165,1.159885,1.159885,1.161165,0
201,4159292,2025-10-15 08:18:00,2025-10-15 08:19:00,2025-10-15 08:19:00,1.159985,1.160065,1.159425,1.160325,0
202,4159293,2025-10-15 08:19:00,2025-10-15 08:20:00,2025-10-15 08:20:00,1.160005,1.159975,1.159355,1.160245,0
203,4159294,2025-10-15 08:20:00,2025-10-15 08:21:00,2025-10-15 08:21:00,1.160015,1.160985,1.159935,1.161245,0
204,4159295,2025-10-15 08:21:00,2025-10-15 08:22:00,2025-10-15 08:22:00,1.161015,1.160375,1.160375,1.161195,0
205,4159296,2025-10-15 08:22:00,2025-10-15 08:23:00,2025-10-15 08:23:00,1.160365,1.160245,1.160075,1.160995,0
